Category	Subcategory	Subsystem	Role	Features
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	HflK protein	fig|6666666.5373.peg.4468
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	Molybdenum cofactor biosynthesis protein MoaA	fig|6666666.5373.peg.655, fig|6666666.5373.peg.654
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	Scaffold protein for [4Fe-4S] cluster assembly ApbC, MRP-like	fig|6666666.5373.peg.7033, fig|6666666.5373.peg.7032
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	HflC protein	fig|6666666.5373.peg.4469
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	ATPase YjeE, predicted to have essential role in cell wall biosynthesis	fig|6666666.5373.peg.4270
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	tRNA-guanine transglycosylase (EC 2.4.2.29)	fig|6666666.5373.peg.1839
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	fig|6666666.5373.peg.4442
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	HtrA protease/chaperone protein	fig|6666666.5373.peg.6985, fig|6666666.5373.peg.1613, fig|6666666.5373.peg.1614
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	Competence protein F homolog, phosphoribosyltransferase domain	fig|6666666.5373.peg.2816
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	fig|6666666.5373.peg.7467
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	Biotin synthesis protein bioH	fig|6666666.5373.peg.2819
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|6666666.5373.peg.3183, fig|6666666.5373.peg.3182, fig|6666666.5373.peg.3184
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	NfuA Fe-S protein maturation	fig|6666666.5373.peg.2815
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	Biotin synthesis protein bioC	fig|6666666.5373.peg.3188
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|6666666.5373.peg.2015, fig|6666666.5373.peg.3187, fig|6666666.5373.peg.3186
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	Dethiobiotin synthetase (EC 6.3.3.3)	fig|6666666.5373.peg.3189
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	Biotin synthase (EC 2.8.1.6)	fig|6666666.5373.peg.3185
Miscellaneous	Plant-Prokaryote DOE project	Biotin biosynthesis Experimental	tRNA (cytosine34-2&#39;-O-)-methyltransferase (EC 2.1.1.-)	fig|6666666.5373.peg.2732, fig|6666666.5373.peg.2731
Miscellaneous	Plant-Prokaryote DOE project	Experimental - Histidine Degradation	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	fig|6666666.5373.peg.7631
Miscellaneous	Plant-Prokaryote DOE project	Experimental - Histidine Degradation	Serine hydroxymethyltransferase (EC 2.1.2.1)	fig|6666666.5373.peg.6420
Miscellaneous	Plant-Prokaryote DOE project	Experimental - Histidine Degradation	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	fig|6666666.5373.peg.1401, fig|6666666.5373.peg.1400
Miscellaneous	Plant-Prokaryote DOE project	At4g38090	FIG000605: protein co-occurring with transport systems (COG1739)	fig|6666666.5373.peg.5029
Miscellaneous	Plant-Prokaryote DOE project	At4g38090	Xaa-Pro dipeptidase PepQ (EC 3.4.13.9)	fig|6666666.5373.peg.5028
Miscellaneous	Plant-Prokaryote DOE project	At4g38090	Protoporphyrinogen IX oxidase, oxygen-independent, HemG (EC 1.3.-.-)	fig|6666666.5373.peg.5031
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Alpha-galactosidase (EC 3.2.1.22)	fig|6666666.5373.peg.466
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Arabinose operon regulatory protein	fig|6666666.5373.peg.4751
Miscellaneous	Plant-Prokaryote DOE project	COG3533	L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	fig|6666666.5373.peg.2805
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	fig|6666666.5373.peg.5683
Miscellaneous	Plant-Prokaryote DOE project	COG3533	L-arabinose isomerase (EC 5.3.1.4)	fig|6666666.5373.peg.456, fig|6666666.5373.peg.455
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Arabinose-proton symporter	fig|6666666.5373.peg.3918, fig|6666666.5373.peg.1657, fig|6666666.5373.peg.4081, fig|6666666.5373.peg.4082
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Alpha-mannosidase (EC 3.2.1.24)	fig|6666666.5373.peg.6102, fig|6666666.5373.peg.6101
Miscellaneous	Plant-Prokaryote DOE project	COG3533	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	fig|6666666.5373.peg.5292, fig|6666666.5373.peg.4297
Miscellaneous	Plant-Prokaryote DOE project	COG3533	L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	fig|6666666.5373.peg.3444, fig|6666666.5373.peg.3445
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Ribulokinase (EC 2.7.1.16)	fig|6666666.5373.peg.453, fig|6666666.5373.peg.451, fig|6666666.5373.peg.454, fig|6666666.5373.peg.452
Miscellaneous	Plant-Prokaryote DOE project	COG3533	L-arabinose transport system permease protein (TC 3.A.1.2.2)	fig|6666666.5373.peg.2807, fig|6666666.5373.peg.2806
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Xyloside transporter XynT	fig|6666666.5373.peg.3841
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Alpha-xylosidase (EC 3.2.1.-)	fig|6666666.5373.peg.3839, fig|6666666.5373.peg.3840, fig|6666666.5373.peg.3838, fig|6666666.5373.peg.3837
Miscellaneous	Plant-Prokaryote DOE project	COG3533	Protein AraJ precursor	fig|6666666.5373.peg.4285, fig|6666666.5373.peg.2596
Miscellaneous	Plant-Prokaryote DOE project	Single-Rhodanese-domain proteins	Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	fig|6666666.5373.peg.4430
Miscellaneous	Plant-Prokaryote DOE project	Single-Rhodanese-domain proteins	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	fig|6666666.5373.peg.60
Miscellaneous	Miscellaneous - no subcategory	YbbK	Putative activity regulator of membrane protease YbbK	fig|6666666.5373.peg.4100, fig|6666666.5373.peg.4099
Miscellaneous	Miscellaneous - no subcategory	YbbK	Putative stomatin/prohibitin-family membrane protease subunit YbbK	fig|6666666.5373.peg.4101
Miscellaneous	Miscellaneous - no subcategory	YaaA	UPF0246 protein YaaA	fig|6666666.5373.peg.1681
Miscellaneous	Miscellaneous - no subcategory	DedA family of inner membrane proteins	DedA family inner membrane protein YabI	fig|6666666.5373.peg.4753, fig|6666666.5373.peg.4752
Miscellaneous	Miscellaneous - no subcategory	DedA family of inner membrane proteins	DedA family inner membrane protein YohD	fig|6666666.5373.peg.2006
Miscellaneous	Miscellaneous - no subcategory	DedA family of inner membrane proteins	DedA family inner membrane protein YghB	fig|6666666.5373.peg.5360
Miscellaneous	Miscellaneous - no subcategory	DedA family of inner membrane proteins	DedA family inner membrane protein YqjA	fig|6666666.5373.peg.5202
Miscellaneous	Miscellaneous - no subcategory	DedA family of inner membrane proteins	DedA family inner membrane protein YdjZ	fig|6666666.5373.peg.6909
Miscellaneous	Miscellaneous - no subcategory	DedA family of inner membrane proteins	DedA protein	fig|6666666.5373.peg.4848
Miscellaneous	Miscellaneous - no subcategory	Muconate lactonizing enzyme family	L-alanine-DL-glutamate epimerase	fig|6666666.5373.peg.3097
Miscellaneous	Miscellaneous - no subcategory	Muconate lactonizing enzyme family	O-succinylbenzoate-CoA synthase (EC 4.2.1.-)	fig|6666666.5373.peg.4410, fig|6666666.5373.peg.4408, fig|6666666.5373.peg.4409
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Putative permease PerM (= YfgO)	fig|6666666.5373.peg.7405, fig|6666666.5373.peg.7404, fig|6666666.5373.peg.7406
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Transcription accessory protein (S1 RNA-binding domain)	fig|6666666.5373.peg.2829, fig|6666666.5373.peg.2828
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Quinone oxidoreductase (EC 1.6.5.5)	fig|6666666.5373.peg.5419, fig|6666666.5373.peg.5418
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Putative heat shock protein YegD	fig|6666666.5373.peg.4438, fig|6666666.5373.peg.4436, fig|6666666.5373.peg.4437
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Proton/aspartate symport protein	fig|6666666.5373.peg.5955
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Sodium/glutamate symport protein	fig|6666666.5373.peg.1988, fig|6666666.5373.peg.1989, fig|6666666.5373.peg.1987
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Putative membrane protein YfcA	fig|6666666.5373.peg.4823, fig|6666666.5373.peg.4824
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Proton/glutamate symport protein	fig|6666666.5373.peg.5955
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Na+/H+ antiporter NhaB	fig|6666666.5373.peg.5829, fig|6666666.5373.peg.5830, fig|6666666.5373.peg.5831
Miscellaneous	Miscellaneous - no subcategory	ZZ gjo need homes	Tyrosine-specific transport protein	fig|6666666.5373.peg.6661
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	YpfJ protein, zinc metalloprotease superfamily	fig|6666666.5373.peg.5088
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	UPF0434 protein YcaR	fig|6666666.5373.peg.7457
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	YbbM seven transmembrane helix protein	fig|6666666.5373.peg.4105, fig|6666666.5373.peg.4104
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	YrbA protein	fig|6666666.5373.peg.1257
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	Putative oxidoreductase YncB	fig|6666666.5373.peg.5645, fig|6666666.5373.peg.5646, fig|6666666.5373.peg.5644
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	Cell division protein BolA	fig|6666666.5373.peg.5318
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	YbbL ABC transporter ATP-binding protein	fig|6666666.5373.peg.4103
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	YciL protein	fig|6666666.5373.peg.480
Miscellaneous	Miscellaneous - no subcategory	Broadly distributed proteins not in subsystems	UPF0265 protein YeeX	fig|6666666.5373.peg.2020, fig|6666666.5373.peg.2021
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery	Phage-related capsid packaging protein	fig|6666666.5373.peg.2110, fig|6666666.5373.peg.2109
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery	Phage terminase, small subunit	fig|6666666.5373.peg.7674
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery	Portal protein	fig|6666666.5373.peg.4316
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery	Phage DNA-packaging protein	fig|6666666.5373.peg.4321, fig|6666666.5373.peg.1955, fig|6666666.5373.peg.1812
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery	Phage terminase, ATPase subunit	fig|6666666.5373.peg.2106, fig|6666666.5373.peg.2107, fig|6666666.5373.peg.2108, fig|6666666.5373.peg.2104, fig|6666666.5373.peg.2105
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery	Phage terminase, large subunit	fig|6666666.5373.peg.7672, fig|6666666.5373.peg.7483, fig|6666666.5373.peg.7832, fig|6666666.5373.peg.7482, fig|6666666.5373.peg.2629, fig|6666666.5373.peg.7905, fig|6666666.5373.peg.7673
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage packaging machinery	Phage portal protein	fig|6666666.5373.peg.2466, fig|6666666.5373.peg.7480
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage nin genes - N-independent survival	Phage antitermination protein Q	fig|6666666.5373.peg.290, fig|6666666.5373.peg.5158
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage nin genes - N-independent survival	Phage NinB DNA recombination	fig|6666666.5373.peg.4353
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage nin genes - N-independent survival	Phage antitermination protein N	fig|6666666.5373.peg.7005
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail proteins 2	Phage tail assembly protein I	fig|6666666.5373.peg.7894, fig|6666666.5373.peg.2555, fig|6666666.5373.peg.7925
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail proteins 2	Phage tail length tape-measure protein 1	fig|6666666.5373.peg.2503, fig|6666666.5373.peg.2097, fig|6666666.5373.peg.2920, fig|6666666.5373.peg.2098, fig|6666666.5373.peg.2607, fig|6666666.5373.peg.2919, fig|6666666.5373.peg.2502, fig|6666666.5373.peg.2608, fig|6666666.5373.peg.2606
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail proteins 2	Phage minor tail protein	fig|6666666.5373.peg.2917, fig|6666666.5373.peg.791, fig|6666666.5373.peg.2774, fig|6666666.5373.peg.7838, fig|6666666.5373.peg.2101, fig|6666666.5373.peg.2918, fig|6666666.5373.peg.2940, fig|6666666.5373.peg.4324, fig|6666666.5373.peg.1282, fig|6666666.5373.peg.7839, fig|6666666.5373.peg.2100, fig|6666666.5373.peg.793, fig|6666666.5373.peg.2099
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail proteins 2	Phage tail assembly protein	fig|6666666.5373.peg.2916
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail fiber proteins	Phage tail fiber protein	fig|6666666.5373.peg.2835, fig|6666666.5373.peg.661, fig|6666666.5373.peg.659, fig|6666666.5373.peg.7750, fig|6666666.5373.peg.7811, fig|6666666.5373.peg.7787, fig|6666666.5373.peg.7827, fig|6666666.5373.peg.658, fig|6666666.5373.peg.788, fig|6666666.5373.peg.235, fig|6666666.5373.peg.1931, fig|6666666.5373.peg.5406, fig|6666666.5373.peg.7893, fig|6666666.5373.peg.4595, fig|6666666.5373.peg.2883
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail fiber proteins	Phage tail fibers	fig|6666666.5373.peg.723, fig|6666666.5373.peg.724
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage tail fiber proteins	Phage tail fiber assembly protein	fig|6666666.5373.peg.6585, fig|6666666.5373.peg.2882, fig|6666666.5373.peg.7888
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage capsid proteins	Phage capsid and scaffold	fig|6666666.5373.peg.7669, fig|6666666.5373.peg.1225
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage capsid proteins	Capsid scaffolding protein	fig|6666666.5373.peg.2103
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage capsid proteins	Phage major capsid protein	fig|6666666.5373.peg.2262, fig|6666666.5373.peg.2263, fig|6666666.5373.peg.1811, fig|6666666.5373.peg.2814, fig|6666666.5373.peg.7667, fig|6666666.5373.peg.2756, fig|6666666.5373.peg.4320, fig|6666666.5373.peg.7668, fig|6666666.5373.peg.2755
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages, Transposable elements, Plasmids - no subcategory	Integrons	Integron integrase IntI1	fig|6666666.5373.peg.5104, fig|6666666.5373.peg.5103
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein J	fig|6666666.5373.peg.1591
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein E	fig|6666666.5373.peg.1597, fig|6666666.5373.peg.1596
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein F	fig|6666666.5373.peg.1595
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein I	fig|6666666.5373.peg.1592
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein M	fig|6666666.5373.peg.1586
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein D	fig|6666666.5373.peg.1598, fig|6666666.5373.peg.1599
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein G	fig|6666666.5373.peg.1594
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein L	fig|6666666.5373.peg.1587
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein C	fig|6666666.5373.peg.1601, fig|6666666.5373.peg.1600
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein K	fig|6666666.5373.peg.1588, fig|6666666.5373.peg.1590, fig|6666666.5373.peg.1589
Membrane Transport	Protein secretion system, Type II	General Secretion Pathway	General secretion pathway protein H	fig|6666666.5373.peg.1593
Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)	Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	fig|6666666.5373.peg.7858
Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	fig|6666666.5373.peg.1296
Membrane Transport	ABC transporters	ATP-dependent efflux pump transporter Ybh	ABC transport system, permease component YbhR	fig|6666666.5373.peg.3196
Membrane Transport	ABC transporters	ATP-dependent efflux pump transporter Ybh	Predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor protein YbhG	fig|6666666.5373.peg.1392, fig|6666666.5373.peg.1393, fig|6666666.5373.peg.3192
Membrane Transport	ABC transporters	ATP-dependent efflux pump transporter Ybh	ABC transporter multidrug efflux pump, fused ATP-binding domains	fig|6666666.5373.peg.3193, fig|6666666.5373.peg.3194
Membrane Transport	ABC transporters	ATP-dependent efflux pump transporter Ybh	Transcriptional regulator YbiH, TetR family	fig|6666666.5373.peg.1391
Membrane Transport	ABC transporters	ATP-dependent efflux pump transporter Ybh	ABC transport system, permease component YbhS	fig|6666666.5373.peg.3195
Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	fig|6666666.5373.peg.6243, fig|6666666.5373.peg.6244, fig|6666666.5373.peg.6336
Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	fig|6666666.5373.peg.579
Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	fig|6666666.5373.peg.6127, fig|6666666.5373.peg.6334, fig|6666666.5373.peg.6245, fig|6666666.5373.peg.6335, fig|6666666.5373.peg.6126, fig|6666666.5373.peg.6333
Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	fig|6666666.5373.peg.580
Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	fig|6666666.5373.peg.6246, fig|6666666.5373.peg.4562
Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	fig|6666666.5373.peg.1255
Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	fig|6666666.5373.peg.4702
Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	fig|6666666.5373.peg.1997
Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	fig|6666666.5373.peg.1897
Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	fig|6666666.5373.peg.4703
Membrane Transport	ABC transporters	ABC transporter peptide (TC 3.A.1.5.5)	Peptide transport system ATP-binding protein sapF (TC 3.A.1.5.5)	fig|6666666.5373.peg.6357
Membrane Transport	ABC transporters	ABC transporter peptide (TC 3.A.1.5.5)	Peptide transport system permease protein sapB (TC 3.A.1.5.5)	fig|6666666.5373.peg.6353, fig|6666666.5373.peg.6352
Membrane Transport	ABC transporters	ABC transporter peptide (TC 3.A.1.5.5)	Peptide transport system permease protein sapC (TC 3.A.1.5.5)	fig|6666666.5373.peg.6355
Membrane Transport	ABC transporters	ABC transporter peptide (TC 3.A.1.5.5)	Peptide transport periplasmic protein sapA (TC 3.A.1.5.5)	fig|6666666.5373.peg.6351, fig|6666666.5373.peg.6348, fig|6666666.5373.peg.6349, fig|6666666.5373.peg.6350
Membrane Transport	ABC transporters	ABC transporter peptide (TC 3.A.1.5.5)	Peptide transport system ATP-binding protein SapD (TC 3.A.1.5.5)	fig|6666666.5373.peg.6356
Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	fig|6666666.5373.peg.3781, fig|6666666.5373.peg.96, fig|6666666.5373.peg.3782
Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	fig|6666666.5373.peg.3786, fig|6666666.5373.peg.3783, fig|6666666.5373.peg.3785, fig|6666666.5373.peg.3784
Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	fig|6666666.5373.peg.3789, fig|6666666.5373.peg.427, fig|6666666.5373.peg.3790
Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	fig|6666666.5373.peg.3788, fig|6666666.5373.peg.424, fig|6666666.5373.peg.3787, fig|6666666.5373.peg.425
Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	fig|6666666.5373.peg.7186, fig|6666666.5373.peg.428, fig|6666666.5373.peg.6125, fig|6666666.5373.peg.7187, fig|6666666.5373.peg.1134, fig|6666666.5373.peg.1616
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Type 1 pili (mannose-sensitive fimbriae, gamma-fimbriae)	type 1 fimbriae major subunit FimA	fig|6666666.5373.peg.177, fig|6666666.5373.peg.28
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Type 1 pili (mannose-sensitive fimbriae, gamma-fimbriae)	type 1 fimbrae adaptor subunit FimG	fig|6666666.5373.peg.1114
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Type 1 pili (mannose-sensitive fimbriae, gamma-fimbriae)	type 1 fimbrae adaptor subunit FimF	fig|6666666.5373.peg.2522, fig|6666666.5373.peg.1112, fig|6666666.5373.peg.1113
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Type 1 pili (mannose-sensitive fimbriae, gamma-fimbriae)	mannose-specific adhesin FimH	fig|6666666.5373.peg.1115, fig|6666666.5373.peg.982
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Type 1 pili (mannose-sensitive fimbriae, gamma-fimbriae)	type 1 fimbriae anchoring protein FimD	fig|6666666.5373.peg.1109, fig|6666666.5373.peg.1870, fig|6666666.5373.peg.1943
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Type 1 pili (mannose-sensitive fimbriae, gamma-fimbriae)	chaperone FimC	fig|6666666.5373.peg.1108
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	The fimbrial Stf cluster	Fimbriae usher protein StfC	fig|6666666.5373.peg.4961
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	The fimbrial Stf cluster	Minor fimbrial subunit StfF	fig|6666666.5373.peg.1443
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	The fimbrial Stf cluster	Major fimbrial subunit StfA	fig|6666666.5373.peg.2054
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	The fimbrial Stf cluster	Periplasmic fimbrial chaperone StfD	fig|6666666.5373.peg.3854, fig|6666666.5373.peg.3853
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	The fimbrial Stf cluster	Minor fimbrial subunit StfG	fig|6666666.5373.peg.1107
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	The fimbrial Stf cluster	Minor fimbrial subunit StfE	fig|6666666.5373.peg.1444
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	The fimbrial Stf cluster	Uncharacterized protein YadU in stf fimbrial cluster	fig|6666666.5373.peg.1106
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	alpha-Fimbriae	Alpha-fimbriae major subunit	fig|6666666.5373.peg.1028
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	alpha-Fimbriae	Alpha-fimbriae usher protein	fig|6666666.5373.peg.1027, fig|6666666.5373.peg.785
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	alpha-Fimbriae	Alpha-fimbriae chaperone protein	fig|6666666.5373.peg.1029
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	alpha-Fimbriae	Alpha-fimbriae tip adhesin	fig|6666666.5373.peg.786
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Colonization factor antigen I fimbriae	FIGfam014588: Predicted regulator of CFA/I fimbriae	fig|6666666.5373.peg.434
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Colonization factor antigen I fimbriae	CFA/I fimbrial subunit C usher protein	fig|6666666.5373.peg.439
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Colonization factor antigen I fimbriae	CFA/I fimbrial auxiliary subunit	fig|6666666.5373.peg.437, fig|6666666.5373.peg.438
Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	Colonization factor antigen I fimbriae	CFA/I fimbrial major subunit	fig|6666666.5373.peg.436, fig|6666666.5373.peg.435
